,Country name,year,stringency_index,facial_coverings,restriction_gatherings,cancel_public_events,Life Ladder,Log GDP per capita,Social support
256,Uzbekistan,2021,44.985,3,3,1,6.185,8.953,0.896
257,Uzbekistan,2022,21.53,1,0,0,6.016,8.99,0.879
258,Venezuela,2020,85.08333333,3,4,2,4.574,8.127,0.805
259,Venezuela,2021,81.63583333,4,4,2,5.108,8.127,0.812
260,Venezuela,2022,20.06083333,3,0,0,5.949,8.127,0.899
261,Vietnam,2020,62.83545455,2,3,2,5.462,9.254,0.765
262,Vietnam,2021,69.09583333,3,3,2,5.54,9.271,0.799
263,Vietnam,2022,39.045,3,2,1,6.267,9.333,0.879
264,Zimbabwe,2020,78.70444444,0,3,2,3.16,7.596,0.717
265,Zimbabwe,2021,63.57916667,3,3,2,3.155,7.657,0.685
266,Zimbabwe,2022,51.28333333,3,3,1,3.296,7.67,0.666
