Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Lithuania,2021,6.865,10.579,0.928,67.4,0.707,-0.119,0.878
Lithuania,2022,7.038,10.602,0.937,67.75,0.71,-0.191,0.685
Mali,2020,4.269,7.661,0.568,55.0,0.645,-0.065,0.895
Mali,2021,4.113,7.659,0.573,55.4,0.673,0.0,0.902
Mali,2022,4.211,7.645,0.642,55.8,0.818,-0.019,0.746
Malta,2020,6.157,10.615,0.938,71.55,0.931,-0.003,0.675
Malta,2021,6.444,10.707,0.897,71.6,0.889,0.242,0.753
Malta,2022,6.299,8.127,0.932,71.65,0.838,-0.125,0.758
Mauritius,2020,6.015,9.915,0.893,63.875,0.843,-0.036,0.772
Mauritius,2021,5.949,9.951,0.887,63.85,0.802,-0.011,0.784
Mauritius,2022,5.741,10.007,0.887,63.825,0.798,-0.038,0.769
Mexico,2020,5.964,9.816,0.779,65.8,0.873,-0.125,0.778
Mexico,2021,5.991,9.857,0.779,65.8,0.837,-0.035,0.745
Mexico,2022,7.038,9.876,0.858,65.8,0.861,-0.121,0.78
Moldova,2020,5.812,9.409,0.874,64.9,0.859,-0.058,0.941
Moldova,2021,5.959,9.547,0.88,65.3,0.833,-0.096,0.875
Moldova,2022,5.687,9.54,0.817,65.7,0.829,-0.087,0.885
Mongolia,2020,6.011,9.365,0.918,60.4,0.718,0.14,0.843
Mongolia,2021,5.721,9.365,0.927,60.5,0.667,0.217,0.851
Mongolia,2022,5.788,9.388,0.951,60.6,0.717,0.214,0.847
Morocco,2020,4.803,8.929,0.553,63.8,0.819,-0.235,0.803
Morocco,2021,5.326,8.994,0.505,63.9,0.762,-0.202,0.817
Morocco,2022,4.596,8.996,0.564,64.0,0.795,-0.254,0.802
Namibia,2020,4.451,9.11,0.741,56.475,0.666,-0.107,0.81
Namibia,2021,4.491,9.12,0.808,56.85,0.659,-0.15,0.829
Namibia,2022,4.949,9.132,0.808,57.225,0.683,-0.12,0.849
Nepal,2020,5.982,8.233,0.787,61.575,0.772,0.138,0.812
Nepal,2021,4.622,8.251,0.699,61.85,0.818,0.147,0.77
Nepal,2022,5.474,8.285,0.753,62.125,0.844,0.153,0.76
Netherlands,2020,7.504,10.902,0.944,71.475,0.935,0.147,0.281
Netherlands,2021,7.314,10.944,0.919,71.55,0.856,0.267,0.397
Netherlands,2022,7.39,10.981,0.929,71.625,0.868,0.224,0.459
New Zealand,2020,7.257,10.637,0.952,70.275,0.918,0.118,0.283
New Zealand,2021,7.137,10.667,0.95,70.35,0.91,0.219,0.252
New Zealand,2022,6.975,10.682,0.956,70.425,0.831,0.187,0.281
Nicaragua,2020,6.287,8.553,0.856,65.575,0.818,0.04,0.631
Nicaragua,2021,6.095,8.637,0.848,65.65,0.905,0.023,0.675
Nicaragua,2022,6.392,8.664,0.844,65.725,0.914,-0.001,0.57
North Macedonia,2020,5.054,9.667,0.75,66.3,0.787,0.13,0.877
North Macedonia,2021,5.535,9.709,0.809,66.5,0.793,0.191,0.884
North Macedonia,2022,5.167,9.733,0.85,66.7,0.723,0.072,0.937
Norway,2020,7.29,11.06,0.956,71.45,0.965,0.069,0.271
Norway,2021,7.362,11.092,0.948,71.5,0.936,0.168,0.263
